realtime_start,realtime_end,date,value
2013-08-14,2023-01-02,1998-08-01,165.800
2013-08-14,2023-01-02,1998-09-01,166.400
2013-08-14,2023-01-02,1998-10-01,166.700
2013-08-14,2023-01-02,1998-11-01,167.000
2013-08-14,2023-01-02,1998-12-01,167.400
2013-08-14,2023-01-02,1999-01-01,167.600
2013-08-14,2023-01-02,1999-02-01,168.600
2013-08-14,2023-01-02,1999-03-01,168.400
2013-08-14,2023-01-02,1999-04-01,168.800
2013-08-14,2023-01-02,1999-05-01,169.300
2013-08-14,2023-01-02,1999-06-01,169.500
2013-08-14,2023-01-02,1999-07-01,169.900
2013-08-14,2023-01-02,1999-08-01,170.200
2013-08-14,2023-01-02,1999-09-01,170.700
2013-08-14,2023-01-02,1999-10-01,170.500
2013-08-14,2023-01-02,1999-11-01,171.200
2013-08-14,2023-01-02,1999-12-01,171.800
2013-08-14,2023-01-02,2000-01-01,172.400
2013-08-14,2023-01-02,2000-02-01,173.000
2013-08-14,2023-01-02,2000-03-01,173.500
2013-08-14,2023-01-02,2000-04-01,173.600
2013-08-14,2023-01-02,2000-05-01,173.800
2013-08-14,2023-01-02,2000-06-01,174.400
2013-08-14,2023-01-02,2000-07-01,175.200
2013-08-14,2023-01-02,2000-08-01,175.600
2013-08-14,2023-01-02,2000-09-01,175.500
2013-08-14,2023-01-02,2000-10-01,175.900
2013-08-14,2023-01-02,2000-11-01,176.400
2013-08-14,2023-01-02,2000-12-01,176.500
2013-08-14,2023-01-02,2001-01-01,177.200
2013-08-14,2023-01-02,2001-02-01,177.700
2013-08-14,2023-01-02,2001-03-01,177.800
2013-08-14,2023-01-02,2001-04-01,178.100
2013-08-14,2023-01-02,2001-05-01,178.500
2013-08-14,2023-01-02,2001-06-01,179.100
2013-08-14,2023-01-02,2001-07-01,179.700
2013-08-14,2023-01-02,2001-08-01,180.000
2013-08-14,2023-01-02,2001-09-01,180.400
2013-08-14,2023-01-02,2001-10-01,180.800
2013-08-14,2023-01-02,2001-11-01,181.200
2013-08-14,2023-01-02,2001-12-01,180.900
2013-08-14,2023-01-02,2002-01-01,181.800
2013-08-14,2023-01-02,2002-02-01,182.600
2013-08-14,2023-01-02,2002-03-01,182.500
2013-08-14,2023-01-02,2002-04-01,182.900
2013-08-14,2023-01-02,2002-05-01,183.300
2013-08-14,2023-01-02,2002-06-01,183.500
2013-08-14,2023-01-02,2002-07-01,183.800
2013-08-14,2023-01-02,2002-08-01,184.200
2013-08-14,2023-01-02,2002-09-01,183.900
2013-08-14,2023-01-02,2002-10-01,184.700
2013-08-14,2023-01-02,2002-11-01,185.100
2013-08-14,2023-01-02,2002-12-01,184.900
2013-08-14,2023-01-02,2003-01-01,185.800
2013-08-14,2023-01-02,2003-02-01,185.800
2013-08-14,2023-01-02,2003-03-01,186.300
2013-08-14,2023-01-02,2003-04-01,186.300
2013-08-14,2023-01-02,2003-05-01,186.600
2013-08-14,2023-01-02,2003-06-01,186.900
2013-08-14,2023-01-02,2003-07-01,187.200
2013-08-14,2023-01-02,2003-08-01,187.200
2013-08-14,2023-01-02,2003-09-01,187.800
2013-08-14,2023-01-02,2003-10-01,188.200
2013-08-14,2023-01-02,2003-11-01,188.700
2013-08-14,2023-01-02,2003-12-01,189.300
2013-08-14,2023-01-02,2004-01-01,189.600
2013-08-14,2023-01-02,2004-02-01,189.700
2013-08-14,2023-01-02,2004-03-01,190.400
2013-08-14,2023-01-02,2004-04-01,191.500
2013-08-14,2023-01-02,2004-05-01,191.500
2013-08-14,2023-01-02,2004-06-01,192.100
2013-08-14,2023-01-02,2004-07-01,192.200
2013-08-14,2023-01-02,2004-08-01,192.700
2013-08-14,2023-01-02,2004-09-01,193.400
2013-08-14,2023-01-02,2004-10-01,193.700
2013-08-14,2023-01-02,2004-11-01,194.300
2013-08-14,2023-01-02,2004-12-01,194.700
2013-08-14,2023-01-02,2005-01-01,194.600
2013-08-14,2023-01-02,2005-02-01,195.000
2013-08-14,2023-01-02,2005-03-01,195.200
2013-08-14,2023-01-02,2005-04-01,195.500
2013-08-14,2023-01-02,2005-05-01,195.300
2013-08-14,2023-01-02,2005-06-01,195.600
2013-08-14,2023-01-02,2005-07-01,195.800
2013-08-14,2023-01-02,2005-08-01,196.100
2013-08-14,2023-01-02,2005-09-01,196.700
2013-08-14,2023-01-02,2005-10-01,196.900
2013-08-14,2023-01-02,2005-11-01,197.500
2013-08-14,2023-01-02,2005-12-01,197.100
2013-08-14,2023-01-02,2006-01-01,198.300
2013-08-14,2023-01-02,2006-02-01,199.200
2013-08-14,2023-01-02,2006-03-01,199.500
2013-08-14,2023-01-02,2006-04-01,199.700
2013-08-14,2023-01-02,2006-05-01,200.600
2013-08-14,2023-01-02,2006-06-01,201.300
2013-08-14,2023-01-02,2006-07-01,201.300
2013-08-14,2023-01-02,2006-08-01,201.400
2013-08-14,2023-01-02,2006-09-01,201.500
2013-08-14,2023-01-02,2006-10-01,202.000
2013-08-14,2023-01-02,2006-11-01,202.000
2013-08-14,2023-01-02,2006-12-01,201.700
2013-08-14,2023-01-02,2007-01-01,203.225
2013-08-14,2023-01-02,2007-02-01,203.948
2013-08-14,2023-01-02,2007-03-01,205.073
2013-08-14,2023-01-02,2007-04-01,205.846
2013-08-14,2023-01-02,2007-05-01,206.389
2013-08-14,2023-01-02,2007-06-01,207.170
