realtime_start,realtime_end,date,value
2013-08-14,2023-01-02,1970-06-01,39.900
2013-08-14,2023-01-02,1970-07-01,39.900
2013-08-14,2023-01-02,1970-08-01,39.900
2013-08-14,2023-01-02,1970-09-01,40.100
2013-08-14,2023-01-02,1970-10-01,40.200
2013-08-14,2023-01-02,1970-11-01,40.100
2013-08-14,2023-01-02,1970-12-01,40.100
2013-08-14,2023-01-02,1971-01-01,39.900
2013-08-14,2023-01-02,1971-02-01,40.000
2013-08-14,2023-01-02,1971-03-01,40.300
2013-08-14,2023-01-02,1971-04-01,40.700
2013-08-14,2023-01-02,1971-05-01,40.900
2013-08-14,2023-01-02,1971-06-01,41.100
2013-08-14,2023-01-02,1971-07-01,41.100
2013-08-14,2023-01-02,1971-08-01,41.100
2013-08-14,2023-01-02,1971-09-01,41.100
2013-08-14,2023-01-02,1971-10-01,41.200
2013-08-14,2023-01-02,1971-11-01,41.300
2013-08-14,2023-01-02,1971-12-01,41.900
2013-08-14,2023-01-02,1972-01-01,41.700
2013-08-14,2023-01-02,1972-02-01,42.300
2013-08-14,2023-01-02,1972-03-01,42.300
2013-08-14,2023-01-02,1972-04-01,42.200
2013-08-14,2023-01-02,1972-05-01,42.300
2013-08-14,2023-01-02,1972-06-01,42.400
2013-08-14,2023-01-02,1972-07-01,42.600
2013-08-14,2023-01-02,1972-08-01,42.700
2013-08-14,2023-01-02,1972-09-01,43.100
2013-08-14,2023-01-02,1972-10-01,43.400
2013-08-14,2023-01-02,1972-11-01,43.700
2013-08-14,2023-01-02,1972-12-01,43.900
2013-08-14,2023-01-02,1973-01-01,44.800
2013-08-14,2023-01-02,1973-02-01,45.600
2013-08-14,2023-01-02,1973-03-01,47.000
2013-08-14,2023-01-02,1973-04-01,47.800
2013-08-14,2023-01-02,1973-05-01,48.500
2013-08-14,2023-01-02,1973-06-01,49.100
2013-08-14,2023-01-02,1973-07-01,49.100
2013-08-14,2023-01-02,1973-08-01,52.600
2013-08-14,2023-01-02,1973-09-01,52.300
2013-08-14,2023-01-02,1973-10-01,52.400
2013-08-14,2023-01-02,1973-11-01,53.100
2013-08-14,2023-01-02,1973-12-01,53.600
2013-08-14,2023-01-02,1974-01-01,54.300
2013-08-14,2023-01-02,1974-02-01,55.800
2013-08-14,2023-01-02,1974-03-01,56.300
2013-08-14,2023-01-02,1974-04-01,56.000
2013-08-14,2023-01-02,1974-05-01,56.500
2013-08-14,2023-01-02,1974-06-01,56.300
2013-08-14,2023-01-02,1974-07-01,55.900
2013-08-14,2023-01-02,1974-08-01,56.700
2013-08-14,2023-01-02,1974-09-01,58.100
2013-08-14,2023-01-02,1974-10-01,58.800
2013-08-14,2023-01-02,1974-11-01,59.500
2013-08-14,2023-01-02,1974-12-01,60.200
2013-08-14,2023-01-02,1975-01-01,60.400
2013-08-14,2023-01-02,1975-02-01,60.400
2013-08-14,2023-01-02,1975-03-01,60.300
2013-08-14,2023-01-02,1975-04-01,60.100
2013-08-14,2023-01-02,1975-05-01,60.300
2013-08-14,2023-01-02,1975-06-01,61.100
2013-08-14,2023-01-02,1975-07-01,62.500
2013-08-14,2023-01-02,1975-08-01,62.300
2013-08-14,2023-01-02,1975-09-01,62.700
2013-08-14,2023-01-02,1975-10-01,63.300
2013-08-14,2023-01-02,1975-11-01,63.700
2013-08-14,2023-01-02,1975-12-01,64.100
2013-08-14,2023-01-02,1976-01-01,63.700
2013-08-14,2023-01-02,1976-02-01,63.000
2013-08-14,2023-01-02,1976-03-01,62.400
2013-08-14,2023-01-02,1976-04-01,62.400
2013-08-14,2023-01-02,1976-05-01,62.600
2013-08-14,2023-01-02,1976-06-01,62.700
2013-08-14,2023-01-02,1976-07-01,62.900
2013-08-14,2023-01-02,1976-08-01,63.100
2013-08-14,2023-01-02,1976-09-01,63.400
2013-08-14,2023-01-02,1976-10-01,63.700
2013-08-14,2023-01-02,1976-11-01,63.500
2013-08-14,2023-01-02,1976-12-01,63.500
2013-08-14,2023-01-02,1977-01-01,63.800
2013-08-14,2023-01-02,1977-02-01,65.300
2013-08-14,2023-01-02,1977-03-01,65.700
2013-08-14,2023-01-02,1977-04-01,66.500
2013-08-14,2023-01-02,1977-05-01,66.600
2013-08-14,2023-01-02,1977-06-01,67.100
2013-08-14,2023-01-02,1977-07-01,67.200
2013-08-14,2023-01-02,1977-08-01,67.400
2013-08-14,2023-01-02,1977-09-01,67.600
2013-08-14,2023-01-02,1977-10-01,67.700
2013-08-14,2023-01-02,1977-11-01,68.400
2013-08-14,2023-01-02,1977-12-01,68.500
2013-08-14,2023-01-02,1978-01-01,69.200
2013-08-14,2023-01-02,1978-02-01,70.000
2013-08-14,2023-01-02,1978-03-01,71.000
2013-08-14,2023-01-02,1978-04-01,72.400
2013-08-14,2023-01-02,1978-05-01,73.700
2013-08-14,2023-01-02,1978-06-01,74.900
2013-08-14,2023-01-02,1978-07-01,75.100
2013-08-14,2023-01-02,1978-08-01,75.100
2013-08-14,2023-01-02,1978-09-01,75.400
2013-08-14,2023-01-02,1978-10-01,76.000
2013-08-14,2023-01-02,1978-11-01,76.500
2013-08-14,2023-01-02,1978-12-01,76.900
2013-08-14,2023-01-02,1979-01-01,78.500
2013-08-14,2023-01-02,1979-02-01,80.000
2013-08-14,2023-01-02,1979-03-01,80.600
2013-08-14,2023-01-02,1979-04-01,81.100
2013-08-14,2023-01-02,1979-05-01,81.800
2013-08-14,2023-01-02,1979-06-01,82.000
2013-08-14,2023-01-02,1979-07-01,82.300
2013-08-14,2023-01-02,1979-08-01,81.900
2013-08-14,2023-01-02,1979-09-01,82.500
2013-08-14,2023-01-02,1979-10-01,83.000
2013-08-14,2023-01-02,1979-11-01,83.500
2013-08-14,2023-01-02,1979-12-01,84.300
2013-08-14,2023-01-02,1980-01-01,84.800
2013-08-14,2023-01-02,1980-02-01,84.700
2013-08-14,2023-01-02,1980-03-01,85.400
2013-08-14,2023-01-02,1980-04-01,85.900
2013-08-14,2023-01-02,1980-05-01,86.400
2013-08-14,2023-01-02,1980-06-01,86.800
2013-08-14,2023-01-02,1980-07-01,87.900
2013-08-14,2023-01-02,1980-08-01,89.800
2013-08-14,2023-01-02,1980-09-01,91.000
2013-08-14,2023-01-02,1980-10-01,91.700
2013-08-14,2023-01-02,1980-11-01,92.800
2013-08-14,2023-01-02,1980-12-01,93.300
2013-08-14,2023-01-02,1981-01-01,93.400
2013-08-14,2023-01-02,1981-02-01,93.600
2013-08-14,2023-01-02,1981-03-01,94.100
2013-08-14,2023-01-02,1981-04-01,94.100
2013-08-14,2023-01-02,1981-05-01,93.900
2013-08-14,2023-01-02,1981-06-01,94.300
2013-08-14,2023-01-02,1981-07-01,95.100
2013-08-14,2023-01-02,1981-08-01,95.600
2013-08-14,2023-01-02,1981-09-01,96.000
2013-08-14,2023-01-02,1981-10-01,96.000
2013-08-14,2023-01-02,1981-11-01,96.000
2013-08-14,2023-01-02,1981-12-01,96.200
2013-08-14,2023-01-02,1982-01-01,96.400
2013-08-14,2023-01-02,1982-02-01,97.400
2013-08-14,2023-01-02,1982-03-01,97.000
2013-08-14,2023-01-02,1982-04-01,97.100
2013-08-14,2023-01-02,1982-05-01,98.100
2013-08-14,2023-01-02,1982-06-01,99.300
2013-08-14,2023-01-02,1982-07-01,99.200
2013-08-14,2023-01-02,1982-08-01,98.600
2013-08-14,2023-01-02,1982-09-01,98.700
2013-08-14,2023-01-02,1982-10-01,98.600
2013-08-14,2023-01-02,1982-11-01,98.500
2013-08-14,2023-01-02,1982-12-01,98.200
2013-08-14,2023-01-02,1983-01-01,97.900
2013-08-14,2023-01-02,1983-02-01,98.000
2013-08-14,2023-01-02,1983-03-01,98.700
2013-08-14,2023-01-02,1983-04-01,99.000
2013-08-14,2023-01-02,1983-05-01,99.400
2013-08-14,2023-01-02,1983-06-01,99.400
2013-08-14,2023-01-02,1983-07-01,99.300
2013-08-14,2023-01-02,1983-08-01,99.200
2013-08-14,2023-01-02,1983-09-01,99.600
2013-08-14,2023-01-02,1983-10-01,99.700
2013-08-14,2023-01-02,1983-11-01,99.600
2013-08-14,2023-01-02,1983-12-01,100.000
2013-08-14,2023-01-02,1984-01-01,101.700
2013-08-14,2023-01-02,1984-02-01,102.500
2013-08-14,2023-01-02,1984-03-01,102.700
2013-08-14,2023-01-02,1984-04-01,102.500
2013-08-14,2023-01-02,1984-05-01,102.000
2013-08-14,2023-01-02,1984-06-01,102.500
2013-08-14,2023-01-02,1984-07-01,102.600
2013-08-14,2023-01-02,1984-08-01,103.300
2013-08-14,2023-01-02,1984-09-01,103.100
2013-08-14,2023-01-02,1984-10-01,103.300
2013-08-14,2023-01-02,1984-11-01,103.400
2013-08-14,2023-01-02,1984-12-01,103.700
2013-08-14,2023-01-02,1985-01-01,103.800
2013-08-14,2023-01-02,1985-02-01,104.300
2013-08-14,2023-01-02,1985-03-01,104.600
2013-08-14,2023-01-02,1985-04-01,104.200
2013-08-14,2023-01-02,1985-05-01,103.800
2013-08-14,2023-01-02,1985-06-01,104.000
2013-08-14,2023-01-02,1985-07-01,104.000
2013-08-14,2023-01-02,1985-08-01,103.800
2013-08-14,2023-01-02,1985-09-01,104.000
2013-08-14,2023-01-02,1985-10-01,103.900
2013-08-14,2023-01-02,1985-11-01,104.800
2013-08-14,2023-01-02,1985-12-01,105.900
2013-08-14,2023-01-02,1986-01-01,105.900
2013-08-14,2023-01-02,1986-02-01,105.600
2013-08-14,2023-01-02,1986-03-01,105.700
2013-08-14,2023-01-02,1986-04-01,105.800
2013-08-14,2023-01-02,1986-05-01,106.200
2013-08-14,2023-01-02,1986-06-01,106.100
2013-08-14,2023-01-02,1986-07-01,107.200
2013-08-14,2023-01-02,1986-08-01,108.500
2013-08-14,2023-01-02,1986-09-01,108.400
2013-08-14,2023-01-02,1986-10-01,108.800
2013-08-14,2023-01-02,1986-11-01,109.400
2013-08-14,2023-01-02,1986-12-01,109.700
2013-08-14,2023-01-02,1987-01-01,110.200
2013-08-14,2023-01-02,1987-02-01,110.600
2013-08-14,2023-01-02,1987-03-01,110.700
2013-08-14,2023-01-02,1987-04-01,110.900
2013-08-14,2023-01-02,1987-05-01,111.700
2013-08-14,2023-01-02,1987-06-01,112.500
2013-08-14,2023-01-02,1987-07-01,112.100
2013-08-14,2023-01-02,1987-08-01,112.300
2013-08-14,2023-01-02,1987-09-01,112.600
2013-08-14,2023-01-02,1987-10-01,112.800
2013-08-14,2023-01-02,1987-11-01,112.700
2013-08-14,2023-01-02,1987-12-01,113.400
2013-08-14,2023-01-02,1988-01-01,113.900
2013-08-14,2023-01-02,1988-02-01,113.700
2013-08-14,2023-01-02,1988-03-01,113.700
2013-08-14,2023-01-02,1988-04-01,114.400
2013-08-14,2023-01-02,1988-05-01,114.900
2013-08-14,2023-01-02,1988-06-01,115.700
2013-08-14,2023-01-02,1988-07-01,117.300
2013-08-14,2023-01-02,1988-08-01,118.100
2013-08-14,2023-01-02,1988-09-01,118.900
2013-08-14,2023-01-02,1988-10-01,119.100
2013-08-14,2023-01-02,1988-11-01,119.200
2013-08-14,2023-01-02,1988-12-01,119.800
2013-08-14,2023-01-02,1989-01-01,120.300
2013-08-14,2023-01-02,1989-02-01,121.300
2013-08-14,2023-01-02,1989-03-01,122.300
2013-08-14,2023-01-02,1989-04-01,123.100
2013-08-14,2023-01-02,1989-05-01,124.100
2013-08-14,2023-01-02,1989-06-01,124.500
2013-08-14,2023-01-02,1989-07-01,124.900
2013-08-14,2023-01-02,1989-08-01,125.200
2013-08-14,2023-01-02,1989-09-01,125.400
2013-08-14,2023-01-02,1989-10-01,126.000
2013-08-14,2023-01-02,1989-11-01,126.600
2013-08-14,2023-01-02,1989-12-01,127.100
2013-08-14,2023-01-02,1990-01-01,129.800
2013-08-14,2023-01-02,1990-02-01,131.300
2013-08-14,2023-01-02,1990-03-01,131.100
2013-08-14,2023-01-02,1990-04-01,130.500
2013-08-14,2023-01-02,1990-05-01,130.600
2013-08-14,2023-01-02,1990-06-01,131.900
2013-08-14,2023-01-02,1990-07-01,132.800
2013-08-14,2023-01-02,1990-08-01,133.200
2013-08-14,2023-01-02,1990-09-01,133.600
2013-08-14,2023-01-02,1990-10-01,134.200
2013-08-14,2023-01-02,1990-11-01,134.600
2013-08-14,2023-01-02,1990-12-01,134.400
2013-08-14,2023-01-02,1991-01-01,135.000
2013-08-14,2023-01-02,1991-02-01,135.000
2013-08-14,2023-01-02,1991-03-01,135.200
2013-08-14,2023-01-02,1991-04-01,136.200
2013-08-14,2023-01-02,1991-05-01,136.700
2013-08-14,2023-01-02,1991-06-01,137.700
2013-08-14,2023-01-02,1991-07-01,136.300
2013-08-14,2023-01-02,1991-08-01,135.300
2013-08-14,2023-01-02,1991-09-01,135.400
2013-08-14,2023-01-02,1991-10-01,135.000
2013-08-14,2023-01-02,1991-11-01,135.800
2013-08-14,2023-01-02,1991-12-01,136.000
2013-08-14,2023-01-02,1992-01-01,135.200
2013-08-14,2023-01-02,1992-02-01,136.000
2013-08-14,2023-01-02,1992-03-01,136.600
2013-08-14,2023-01-02,1992-04-01,136.400
2013-08-14,2023-01-02,1992-05-01,135.900
2013-08-14,2023-01-02,1992-06-01,136.300
2013-08-14,2023-01-02,1992-07-01,136.100
2013-08-14,2023-01-02,1992-08-01,137.400
2013-08-14,2023-01-02,1992-09-01,138.200
2013-08-14,2023-01-02,1992-10-01,138.100
2013-08-14,2023-01-02,1992-11-01,137.700
2013-08-14,2023-01-02,1992-12-01,137.700
2013-08-14,2023-01-02,1993-01-01,138.100
2013-08-14,2023-01-02,1993-02-01,138.600
2013-08-14,2023-01-02,1993-03-01,138.500
2013-08-14,2023-01-02,1993-04-01,139.000
2013-08-14,2023-01-02,1993-05-01,140.500
2013-08-14,2023-01-02,1993-06-01,139.700
2013-08-14,2023-01-02,1993-07-01,139.600
2013-08-14,2023-01-02,1993-08-01,140.300
2013-08-14,2023-01-02,1993-09-01,140.600
2013-08-14,2023-01-02,1993-10-01,141.400
2013-08-14,2023-01-02,1993-11-01,141.800
2013-08-14,2023-01-02,1993-12-01,142.500
2013-08-14,2023-01-02,1994-01-01,142.700
2013-08-14,2023-01-02,1994-02-01,142.300
2013-08-14,2023-01-02,1994-03-01,142.100
2013-08-14,2023-01-02,1994-04-01,142.300
2013-08-14,2023-01-02,1994-05-01,142.800
2013-08-14,2023-01-02,1994-06-01,143.400
2013-08-14,2023-01-02,1994-07-01,144.600
2013-08-14,2023-01-02,1994-08-01,145.300
2013-08-14,2023-01-02,1994-09-01,145.400
2013-08-14,2023-01-02,1994-10-01,145.300
2013-08-14,2023-01-02,1994-11-01,145.500
2013-08-14,2023-01-02,1994-12-01,147.300
2013-08-14,2023-01-02,1995-01-01,147.000
2013-08-14,2023-01-02,1995-02-01,147.700
2013-08-14,2023-01-02,1995-03-01,147.100
2013-08-14,2023-01-02,1995-04-01,148.700
2013-08-14,2023-01-02,1995-05-01,148.700
2013-08-14,2023-01-02,1995-06-01,148.700
2013-08-14,2023-01-02,1995-07-01,148.800
2013-08-14,2023-01-02,1995-08-01,148.800
2013-08-14,2023-01-02,1995-09-01,149.500
2013-08-14,2023-01-02,1995-10-01,149.900
2013-08-14,2023-01-02,1995-11-01,149.800
2013-08-14,2023-01-02,1995-12-01,150.300
2013-08-14,2023-01-02,1996-01-01,150.900
2013-08-14,2023-01-02,1996-02-01,151.300
2013-08-14,2023-01-02,1996-03-01,152.200
2013-08-14,2023-01-02,1996-04-01,152.900
2013-08-14,2023-01-02,1996-05-01,152.500
2013-08-14,2023-01-02,1996-06-01,153.900
2013-08-14,2023-01-02,1996-07-01,154.400
2013-08-14,2023-01-02,1996-08-01,155.000
2013-08-14,2023-01-02,1996-09-01,155.900
2013-08-14,2023-01-02,1996-10-01,156.900
2013-08-14,2023-01-02,1996-11-01,157.600
2013-08-14,2023-01-02,1996-12-01,157.700
2013-08-14,2023-01-02,1997-01-01,156.900
2013-08-14,2023-01-02,1997-02-01,157.700
2013-08-14,2023-01-02,1997-03-01,157.600
2013-08-14,2023-01-02,1997-04-01,157.300
2013-08-14,2023-01-02,1997-05-01,157.500
2013-08-14,2023-01-02,1997-06-01,157.700
2013-08-14,2023-01-02,1997-07-01,157.900
2013-08-14,2023-01-02,1997-08-01,158.600
2013-08-14,2023-01-02,1997-09-01,158.800
2013-08-14,2023-01-02,1997-10-01,159.000
2013-08-14,2023-01-02,1997-11-01,159.300
2013-08-14,2023-01-02,1997-12-01,159.300
2013-08-14,2023-01-02,1998-01-01,160.300
